progress,finished,attention_1,attention_2,attention_3,attention_1_fail,attention_2_fail,attention_3_fail,q1_g20,q2_g20,q3_g20,q4_g20,q5_g20,q6_g20,q7_g20,q8_g20,q9_g20,q10_g20,q11_g20,q12_g20,q13_g20,q14_g20,q15_g20,q16_g20,q17_g20,q18_g20,q19_g20,q20_g20,q16_g5,q17_g5,q18_g5,q19_g5,q20_g5,method_description,time_q1,time_q2,time_q3,time_q4,time_q5,time_q6,time_q7,time_q8,time_q9,time_q10,time_q11,time_q12,time_q13,time_q14,time_q15,time_q16,time_q17,time_q18,time_q19,time_q20,history_q1,history_q2,history_q3,history_q4,history_q5,history_q6,history_q7,history_q8,history_q9,history_q10,history_q11,history_q12,history_q13,history_q14,history_q15,history_q16,history_q17,history_q18,history_q19,history_q20,button_2_to_1,button_3_to_2,button_4_to_3,button_5_to_4,history_a1,history_a2,history_a3,history_a1_fail,history_a2_fail,history_a3_fail,time_button_2_to_1,time_button_3_to_2,time_button_4_to_3,time_button_5_to_4,button_1_to_2,button_2_to_3,button_3_to_4,button_4_to_5,time_button_1_to_2,time_button_2_to_3,time_button_3_to_4,time_button_4_to_5,setting
100,1,2,1,2,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,I based my answers as those above 200 were in the top percentile. I thought that anything below 200 would count as the lower percentiles. I did not anticipate that all the scores would be above 200.,"1661453913507","1661453917075","1661453922723","1661453925051","1661453926827","1661453935908","1661453937547","1661453939491","1661453942139","1661453944722","1661453948395","1661453949443","1661453951042","1661453952739","1661453953659","1661453958779","1661453962266","1661453964683","1661453965834","1661453967554","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5",,,,,"2","1","2",,,,,,,,1,1,1,1,"1661453932807","1661453945638","1661453955622","1661453968862",78
100,1,2,1,2,,,,5,5,4,4,4,4,5,5,5,3,4,4,3,5,4,3,5,5,4,2,,,,,,I tried to keep in mind the details provided at the beginning of the study regarding the possibility of some tests being harder than others and tried to be as flexible as possible when answering ,"1661453565083","1661453571905, 1661453597215","1661453573694","1661453575977","1661453589681","1661453640814","1661453642639","1661453644165","1661453645936","1661453649644","1661453664387","1661453667985","1661453669264","1661453675597","1661453678804","1661454193747","1661454196118","1661454198655","1661454200311","1661454202627","5","4, 5","4","4","4","4","5","5","5","3","4","4","3","5","4","3","5","5","4","2",,,,,"2","1","2",,,,,,,,1,1,1,1,"1661453633091","1661453654840","1661453681133","1661454205187",19
100,1,2,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2","2","2","1","2, 1",,,,,,,,,,,,,
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,5,3,"I looked at the scores out of 300 and decided that since there was only one score in the 230s, that should be in the 80-100% range. That automatically put all the scores in the 220s into the 60-80% range. I put the scores below 220 into the 40-60% range. The test seemed like it must have been relatively easy since everyone seemed to get scores in the low to low-mid 200, and so I am guessing that the lowest scores for the 20-40% range will be in the mid to high 100s and anything lower than 150 would be in the 0-20% range.",,,,,,,,,,,,,,,,"1661454066242, 1661454103890, 1661454106739, 1661454108590","1661454074490, 1661454113824","1661454080273, 1661454129174","1661454085824","1661454092874, 1661454151806",,,,,,,,,,,,,,,,"5, 4, 5, 4","4, 3","5, 4","5","4, 3",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661454157358",28
100,1,2,1,2,,,,4,1,1,2,2,3,4,3,5,1,3,5,4,2,3,3,5,2,5,4,,,,,,,"1661454060935","1661454037263","1661454024472","1661454055597","1661454054033","1661454102995","1661454094557","1661454091846","1661454090481, 1661454097884","1661454087294","1661454145172","1661454127493","1661454148349","1661454152166","1661454441481","1661454465009","1661454461140","1661454466833","1661454470151","1661454475899","4","1","1","2","2","3","4","3","4, 5","1","3","5","4","2","3","3","5","2","5","4",1,1,,,"2","1","2",,,,"1661454113207","1661454444566",,,2,2,1,1,"1661454075753, 1661454119280","1661454121942, 1661454450387","1661454452565","1661454477220",39
100,1,2,2,2,2,1,2,4,5,2,2,3,3,3,1,3,5,5,3,2,5,3,1,1,5,1,3,,,,,,"Determined the minimum and maximum scores, and the approximate range of scores within each quartile","1661454727133","1661454728995, 1661454778832","1661454731294, 1661454740965","1661454733042, 1661454739614","1661454737008, 1661454738948","1661454765422","1661454766763","1661454768322","1661454771345","1661454773134","1661454784938","1661454830246","1661454807242, 1661454810590","1661454803988","1661454802728","1661454859102","1661454859644","1661454860678","1661454862146","1661454863424","4","4, 5","3, 2","3, 2","2, 3","3","3","1","3","5","5","3","3, 2","5","3","1","1","5","1","3",3,3,,,"2","2","2","2","1","2","1661454757848, 1661454774351, 1661454818479","1661454794297, 1661454812967, 1661454836956",,,4,4,2,1,"1661454750113, 1661454763268, 1661454780215, 1661454822739","1661454781561, 1661454800024, 1661454824322, 1661454843764","1661454790522, 1661454845815","1661454865105",49
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,4,5,"I assumed that anything close to 300 had to be pretty good. Over 250 means they got about 80% of the answers right, which probably put people in a higher percentile. Everyone else seemed just a bit below that, so I put answers above 200 but under 250 in the 2nd highest percentile.",,,,,,,,,,,,,,,,"1661454886734, 1661454906234","1661454892280","1661454895387, 1661454908990","1661454896536, 1661454911400","1661454898120, 1661454912834",,,,,,,,,,,,,,,,"4, 5","4","3, 4","3, 4","4, 5",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661454913977",2
100,1,2,1,2,,,,4,3,4,3,3,2,2,3,1,2,4,2,2,3,3,3,3,5,1,2,,,,,,I tried to group them up in my head as best as possible and compare that to the given percentile. ,"1661455165062, 1661455165852","1661455180084","1661455185384","1661455190457","1661455191792","1661455202772","1661455205401","1661455206795","1661455210652","1661455214661","1661455224501","1661455229793","1661455231724","1661455234059","1661455234937","1661455242849","1661455243509","1661455244975","1661455247161, 1661455247466","1661455249086","5, 4","3","4","3","3","2","2","3","1","2","4","2","2","3","3","3","3","5","2, 1","2",,,,,"2","1","2",,,,,,,,1,1,1,1,"1661455194255","1661455219608","1661455239506","1661455250153",67
100,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","1, 1","1","1","2, 1",,,,,,,,,,,,,
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,1,4,"Since all of the numbers were within the same range of 210 to 270 or so, I ranked them accordingly. I assumed that everyone would tend to end up in that range.",,,,,,,,,,,,,,,,"1661456755393","1661456756879","1661456742719","1661456750480","1661456759449",,,,,,,,,,,,,,,,"1","2","5","1","4",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661456760289",17
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,3,4,"I thought 204-250 was really high but maybe not the highest so that is why i mainly picked 60-80%, but then I changed the low 200s to be 40-60%",,,,,,,,,,,,,,,,"1661456810640","1661456814322, 1661456823187","1661456815400","1661456816849, 1661456824733","1661456818676",,,,,,,,,,,,,,,,"4","4, 3","4","4, 3","4",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661456826373",44
100,1,2,1,2,,,,2,3,4,4,5,3,3,2,2,2,2,3,3,1,2,1,3,3,2,3,,,,,,"I started by simply basing on an ""____ out of 300"" scale. Then, as I saw more numbers - all of them above 200 - I went back and re-rated some answers since 200 (or close to it) seemed to be the low value rather than any sort of middle value.","1661456715682, 1661456763205","1661456724714, 1661456764959","1661456727616, 1661456733205, 1661456767054","1661456734151","1661456735719","1661456741583","1661456745484, 1661456751205","1661456752505","1661456753697","1661456757046","1661456778574","1661456779479","1661456780491","1661456783053","1661456784803","1661456789466","1661456790849","1661456791985, 1661456793429","1661456793964","1661456795257","3, 2","4, 3","4, 5, 4","4","5","3","4, 3","2","2","2","2","3","3","1","2","1","3","2, 3","2","3",1,,,,"1, 2","1","2",,,,"1661456760944",,,,2,1,1,1,"1661456738386, 1661456770085","1661456772677","1661456786387","1661456796803",29
100,1,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,2,2,1,2,3,the chart that was provided,,,,,,,,,,,,,,,,"1661456932427","1661456936171","1661456939082","1661456941021","1661456943349",,,,,,,,,,,,,,,,"2","2","1","2","3",,,,,"2","2","2","2","1","2",,,,,,,,1,,,,"1661456945319",14
100,1,2,1,2,,,,3,2,2,3,3,3,3,4,4,5,4,3,1,5,2,1,5,3,2,1,,,,,,"just went off the number i was seeing, there was a lot in the range of 330-350 so i assumed that was close to the average","1661456880616, 1661456926515","1661456888093, 1661456929455","1661456890276, 1661456931924","1661456891776, 1661456933689","1661456893531, 1661456936674","1661456905542, 1661456942009","1661456904310, 1661456942783","1661456901905, 1661456943759","1661456902815","1661456900182","1661456953779","1661456954704","1661456955946","1661456957888","1661456958804","1661456962895","1661456963906","1661456965280","1661456966822, 1661456969950","1661456967797","4, 3","3, 2","3, 2","4, 3","4, 3","4, 3","4, 3","5, 4","4","5","4","3","1","5","2","1","5","3","3, 2","1",1,1,,,"2","1","2",,,,"1661456925018","1661456922768",,,2,2,2,1,"1661456896843, 1661456940553","1661456913085, 1661456952384","1661456919291, 1661456961521","1661456971375",75
100,1,2,1,2,,,,3,4,4,3,3,3,4,4,3,3,4,3,3,4,4,4,4,3,3,3,,,,,,I tried to group them as closely as possible based on the earlier example that was provided to me.,"1661456941747, 1661456946939","1661456945392","1661456948519","1661456953427","1661456956203","1661456961725","1661456962691, 1661456963051","1661456964186, 1661456964434","1661456965572","1661456966722","1661456970148","1661456970946","1661456971939","1661456973074","1661456974588","1661456977589","1661456978371","1661456979116","1661456980611","1661456981394","4, 3","4","4","3","3","3","4, 4","4, 4","3","3","4","3","3","4","4","4","4","3","3","3",,,,,"2","1","2",,,,,,,,1,1,1,1,"1661456957879","1661456968302","1661456975984","1661456982612",41
100,1,2,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","1","1","2","2","2",,,,,,,,,,,,,
100,1,2,2,2,2,1,2,4,3,4,3,4,3,5,4,4,3,4,4,4,4,4,4,3,3,2,3,,,,,,i tried to think of them as a percentage of 300,"1661456955043","1661456966004","1661456969579","1661456971746","1661456973865","1661456978827","1661456980930","1661456982871","1661456984853","1661456986466","1661456993286","1661456995063","1661456996713","1661456998461","1661457001124","1661457005962","1661457009301","1661457010945","1661457013127","1661457014308","4","3","4","3","4","3","5","4","4","3","4","4","4","4","4","4","3","3","2","3",,,,,"2","2","1, 2","2","1","2",,,,,1,1,1,1,"1661456975694","1661456988015","1661457002495","1661457015673",47
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,2,3,"I looked at all the scores before assigning percentiles. I noticed that some of the scores were in a similar score band, so I gave those similar scores the same percentile range.",,,,,,,,,,,,,,,,"1661456946905","1661456949085","1661456951525","1661456956781","1661456964207",,,,,,,,,,,,,,,,"3","2","4","2","3",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661456970164",35
15,0,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","2","2",,,,,,,,,,,,,,,,
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,3,5,I tried to apply the logic of the previous instructions and guess where these scores may fall on a similar scale. ,,,,,,,,,,,,,,,,"1661456996406, 1661456996553","1661456998490, 1661456998943","1661456999837, 1661457000001, 1661457004986","1661457005373, 1661457005545","1661457007007",,,,,,,,,,,,,,,,"2, 3","5, 4","2, 3, 4","2, 3","5",,,,,"2","2, 1","1, 2",,,,,,,,,,,,,,,,6
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,4,4,I mainly rated the scores based on the actual percentages for how the scores fared out of 300.  266/300 is a little less than 90% so I put it in the top percentile,,,,,,,,,,,,,,,,"1661456902036","1661456903865","1661456907669","1661456909200","1661456910420",,,,,,,,,,,,,,,,"5","4","4","4","4",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661456914134",42
100,1,1,2,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","2","1","1","2","2",,,,,,,,,,,,,
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,4,5,"The closer the value of the number was to the maximum, the higher the percentage and vise versa.",,,,,,,,,,,,,,,,"1661457051905","1661457055388","1661457060447","1661457062448","1661457063816",,,,,,,,,,,,,,,,"5","4","4","4","5",,,,,"2","1","1, 2",,,,,,,,,,,1,,,,"1661457065379",63
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,4,3,I tried to categorize the scores by what I assumed to be the highest scores.,,,,,,,,,,,,,,,,"1661456977095","1661456978622","1661456980743","1661456982798","1661456984166",,,,,,,,,,,,,,,,"5","4","4","4","3",,,,,"2","2, 1","2",,,,,,,,,,,1,,,,"1661456985774",60
98,0,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,3,1,5,2,4,I ranked them from high to low,,,,,,,,,,,,,,,,"1661453504077","1661453483443","1661453522506","1661453498901","1661453517402",,,,,,,,,,,,,,,,"3","1","5","2","4",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661453523835",70
100,1,2,1,2,,,,2,4,4,1,2,4,5,1,1,3,1,2,2,3,2,3,1,1,2,2,,,,,,"I roughly looked at the range of answers and divided them into each of the percentiles by eyeballing them. Scores around 200 were the worst, and scores around 270+ were the best.","1661457026269","1661457019102, 1661457051240","1661457021636, 1661457032305","1661457023636","1661457029104, 1661457060075","1661457043373","1661457046954","1661457064174","1661457065608","1661457067607, 1661457068127","1661457073076","1661457074376","1661457076010","1661457076977, 1661457077961","1661457079910","1661457082728, 1661457088128","1661457084445, 1661457086710","1661457089714, 1661457093130","1661457094163","1661457095078","2","5, 4","5, 4","1","3, 2","4","5","1","1","2, 3","1","2","2","2, 3","2","2, 3","3, 1","2, 1","2","2",1,,,,"2","1","2",,,,"1661457048426",,,,2,1,1,1,"1661457035306, 1661457060776","1661457070878","1661457080748","1661457097133",82
100,1,2,1,2,,,,4,4,5,4,5,5,5,5,4,4,4,4,4,4,5,4,5,5,4,4,,,,,,"I assumed the test scores were uniform and the the test takers scores would be uniform as well. Without knowing specifics about either, this is a reasonable assumption to make. ","1661457081934","1661457084159","1661457086476","1661457088618","1661457089907","1661457096676","1661457098035","1661457098976","1661457100018","1661457101114","1661457105042","1661457107140","1661457109208","1661457110466","1661457111466","1661457117214","1661457118654","1661457120084","1661457121100","1661457121948","4","4","5","4","5","5","5","5","4","4","4","4","4","4","5","4","5","5","4","4",,,,,"2","1","2",,,,,,,,1,1,1,1,"1661457091318","1661457102167","1661457112852","1661457123468",21
100,1,2,1,2,,,,4,5,5,4,5,4,3,3,3,3,5,3,3,2,2,4,2,3,2,2,,,,,,"Anything in the 230s-240s seemed high. As I went on, I realized I needed to adjust my beliefs, and the lower 200s were probably the lowest percentile groups.","1661457091053, 1661457093699, 1661457097076, 1661457097612","1661457092342","1661457094840","1661457100533","1661457099287","1661457103432","1661457104409, 1661457111406","1661457105234, 1661457110212","1661457107291, 1661457109059","1661457108310","1661457114967","1661457115822","1661457116771","1661457117613, 1661457119526","1661457118748","1661457135419","1661457137012","1661457138223","1661457139058","1661457139980","5, 3, 2, 4","5","5","4","5","4","4, 3","4, 3","4, 3","3","5","3","3","3, 2","2","4","2","3","2","2",,,,,"2","1","2, 2",,,,,,,,1,1,1,1,"1661457101748","1661457113259","1661457120929","1661457140915",69
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,4,4,5,3,3,I tried to see what the highest number was and work backward,,,,,,,,,,,,,,,,"1661457183127","1661457186585","1661457188243","1661457189582","1661457191911",,,,,,,,,,,,,,,,"4","4","5","3","3",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661457193286",21
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,5,4,"I figured that because the scores go up to 300, that the ranges would be between 30 and 50 for each block. (Not very good at math or estimate but-) I placed the lower scores in a smaller range, ones that were in the 10s. And the higher scores in the higher range, which were beween 230 and all the way up to 288. ",,,,,,,,,,,,,,,,"1661457117612","1661457085022","1661457088632, 1661457108108","1661457098032, 1661457113835","1661457099926, 1661457121037",,,,,,,,,,,,,,,,"4","5","4, 5","4, 5","3, 4",,,,1,"2","1","2",,,,,,,"1661457144941",,,,2,,,,"1661457140012, 1661457148726",75
15,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","2","1",,,,,,,,,,,,,,,,
100,1,2,1,2,,,,2,1,2,4,1,1,2,2,1,1,3,2,1,1,3,2,1,4,1,1,,,,,,"At first I thought that since the scores were all over 200 that people did pretty decent on the test. But as I looked on, most numbers ranged from 201-260, so for the lower scores I  ended up switching to a lower percentile for them and then went up in increments of 20 just like the percentages did. I'm not really sure how to describe it more.","1661456854517, 1661457001415","1661456852987, 1661457002896","1661456851330, 1661457011457","1661456841705, 1661457012856","1661456848673, 1661457014314","1661456865633, 1661456990939","1661456863095, 1661456991641, 1661456992153","1661456864131, 1661456993725","1661456867310, 1661456994897","1661456868234, 1661456996325","1661456875851, 1661456979854","1661456876808, 1661456981119","1661456879334, 1661456882060, 1661456891158, 1661456982698","1661456880642, 1661456881217, 1661456892619, 1661456984262","1661456884423, 1661456886030, 1661456886575, 1661456887226, 1661456887860, 1661456888248, 1661456985732, 1661456986923","1661456916636, 1661456966692","1661456915006, 1661456944748, 1661456955834","1661456913953","1661456918267, 1661456941144, 1661456952076","1661456919680, 1661456939829, 1661456975702","4, 2","3, 1","4, 2","5, 4","3, 1","3, 1","4, 3, 2","4, 2","3, 1","3, 1","5, 3","4, 2","3, 4, 3, 1","3, 4, 3, 1","3, 4, 5, 5, 5, 4, 2, 3","4, 2","3, 2, 1","4","3, 2, 1","3, 2, 1",1,1,2,1,"2","1","2",,,,"1661456997758","1661456988300","1661456970022, 1661456977216","1661456935515",2,2,3,2,"1661456857089, 1661457017084","1661456870300, 1661457020292","1661456895935, 1661456973960, 1661457022180","1661456920550, 1661457024354",44
100,1,2,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,3,3,4,4,4,"The higher 200 numbers didn't seem close enough to 300 to seem BEST, so second best seemed more fitting. The other 2 numbers didn't seem very close enough to second best, so I put them lower in the scale than the rank next to that.",,,,,,,,,,,,,,,,"1661457137316","1661457132780","1661457122732, 1661457130455","1661457123462, 1661457129311","1661457117442, 1661457128596",,,,,,,,,,,,,,,,"3","3","5, 4","5, 4","5, 4",,,,,"2","1","1","2","1","2",,,,,,,,1,,,,"1661457152658",0
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,3,5,All the scores were in the 200+ range so I scored them pretty high but only the 266 seemed like it might be in the highest percentile. There weren't enough scores to really get a sense for how hard the test might be. ,,,,,,,,,,,,,,,,"1661457166335","1661457175943","1661457177637","1661457180917","1661457190716",,,,,,,,,,,,,,,,"4","4","3","3","5",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661457195066",52
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,2,3,I took an educated guess based on the scores I saw (they were all over 200 so I assumed the test was moderately easy and scores over 200 were common),,,,,,,,,,,,,,,,"1661457225122","1661457227552","1661457228922","1661457230953","1661457243294",,,,,,,,,,,,,,,,"4","3","3","2","3",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661457244668",47
100,1,2,2,2,2,1,2,5,4,4,3,3,4,4,4,3,4,3,3,5,3,3,3,5,5,3,4,,,,,,I chose the higher numbers i thought would be in a higher group and put the lower ones in the lower group. I then took a guess at what would be the low to high for each group and thats how i dertermined the placement.,"1661457112918","1661457115764","1661457118650","1661457131659","1661457133130","1661457143070","1661457145555","1661457157655","1661457159895","1661457164206","1661457168629","1661457170254","1661457171887","1661457173679","1661457176126","1661457179841","1661457181196","1661457182757","1661457184604","1661457188422","5","4","4","3","3","4","4","4","3","4","3","3","5","3","3","3","5","5","3","4",,,,,"2","2","2","2","1","2",,,,,1,1,1,1,"1661457134619","1661457165714","1661457177779","1661457190501",77
100,1,2,1,2,,,,5,3,4,2,4,3,4,2,2,3,3,3,2,1,1,3,3,4,3,5,,,,,,"I set highs and lows of 220 for a centain range, 230 for a certain range, and so on","1661457223262","1661457240483","1661457241238","1661457236151","1661457233553","1661457265390","1661457263778","1661457260875, 1661457278562","1661457257318, 1661457279246","1661457258952","1661457289924","1661457289192","1661457284822","1661457286480","1661457287326","1661457294584","1661457295356","1661457297047","1661457298180","1661457299927","5","3","4","2","4","3","4","3, 2","3, 2","3","3","3","2","1","1","3","3","4","3","5",1,,,,"2","1","2",,,,"1661457268797",,,,2,1,1,1,"1661457245611, 1661457275289","1661457281123","1661457291541","1661457300847",20
100,1,2,1,2,,,,3,4,4,4,5,4,5,5,2,2,4,3,4,2,5,4,4,5,5,4,,,,,,I just readjusted it once I saw more and more scores,"1661457240339, 1661457250236","1661457260787","1661457263152, 1661457264036","1661457274604","1661457269503","1661457281937","1661457283787","1661457285853","1661457288585, 1661457289853","1661457294704","1661457297969, 1661457299700","1661457302337","1661457305053","1661457307319","1661457311285","1661457315687","1661457316802","1661457319320","1661457320852","1661457322485","4, 3","4","5, 4","4","5","4","5","5","5, 2","2","5, 4","3","4","2","5","4","4","5","5","4",,,,,"2","1","2",,,,,,,,2,2,1,1,"1661457270593, 1661457276577","1661457292310, 1661457295842","1661457312860","1661457323976",68
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,4,5,4,3,5,I tried to guess where the median would be and go off of that,,,,,,,,,,,,,,,,"1661457321989, 1661457324140","1661457327567","1661457330124, 1661457335662, 1661457336790","1661457331300, 1661457334760","1661457333212",,,,,,,,,,,,,,,,"5, 4","5","5, 3, 4","4, 3","5",,,,,"2","1, 2, 1","2",,,,,,,,,,,1,,,,"1661457341452",98
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,5,5,4,5,4,The scores all appeared in the high to mid 200s. Since 300 was the max and assuming that even a group that was excellent in the task many of them would still find it hard to get past 280 I believe that we can break down the percentage groups in the range 200-280 That is how I generally made my decisions.,,,,,,,,,,,,,,,,"1661457132125","1661457133439","1661457136616","1661457139479","1661457141341",,,,,,,,,,,,,,,,"5","5","4","5","4",,,,,"2","2, 1","2",,,,,,,,,,,1,,,,"1661457162598",79
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,5,4,5,5,4,I analyzed each number and tried to predict whether or not that score would likely fall into each higher category due to the upper limit being 300.,,,,,,,,,,,,,,,,"1661457320541","1661457326156","1661457328190","1661457330901","1661457333108",,,,,,,,,,,,,,,,"5","4","5","5","4",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661457336720",31
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,5,4,"I figured anything over half the points would at least be 60% or better, and then since most of them were higher , they had to be really high to get 80%.",,,,,,,,,,,,,,,,"1661457285870","1661457289823","1661457292864","1661457295485","1661457299021",,,,,,,,,,,,,,,,"4","4","4","5","4",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661457301370",12
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,5,4,5,4,4,I looked at how close they was to 300,,,,,,,,,,,,,,,,"1661457317689","1661457325131","1661457332355","1661457336169","1661457339425",,,,,,,,,,,,,,,,"5","4","5","4","4",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661457342467",45
100,1,2,1,2,,,,4,3,2,2,1,4,4,5,4,2,3,3,2,5,5,3,2,2,1,4,,,,,,Based on the average scores from the group,"1661457336292","1661457338420","1661457340206","1661457341213","1661457343720","1661457351975, 1661457365332","1661457363005","1661457360819, 1661457367347","1661457372112","1661457357746","1661457375298","1661457379016","1661457379673","1661457381091","1661457382420","1661457385553","1661457387363","1661457389777","1661457392227","1661457393573","4","3","2","2","1","5, 4","4","4, 5","4","2","3","3","2","5","5","3","2","2","1","4",,,,,"2","1","2",,,,,,,,1,2,1,1,"1661457345897","1661457368620, 1661457373396","1661457383397","1661457394511",74
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,3,5,3,4,5,I Used number wise listout,,,,,,,,,,,,,,,,"1661457162393","1661457172028","1661457177716","1661457193908","1661457199067",,,,,,,,,,,,,,,,"3","5","3","4","5",,,,,"1, 2","1","2",,,,,,,,,,,1,,,,"1661457214649",1
100,1,2,2,2,2,1,2,4,4,5,5,4,4,4,3,5,4,4,4,4,3,3,5,5,3,4,4,,,,,,used the scores as a percentage of 300 and placed it in the percentile of whatever that percentage was,"1661457341097","1661457345549","1661457352137","1661457353196","1661457354878","1661457359719","1661457360766","1661457362116","1661457363504","1661457365724","1661457368784","1661457369888","1661457370913","1661457372022","1661457372810","1661457376755","1661457377453","1661457378909","1661457380347, 1661457381044","1661457382176","4","4","5","5","4","4","4","3","5","4","4","4","4","3","3","5","5","3","5, 4","4",,,,,"2","2","2","2","1","2",,,,,1,1,1,1,"1661457357796","1661457366671","1661457374257","1661457382949",81
100,1,2,1,2,,,,5,4,3,1,2,2,1,1,4,1,5,1,1,1,4,2,3,3,5,4,,,,,,I just tried to keep a range of answers. The first page had five scores spanning about 50.  Five different percentile groups. I tried arranging using those and would adjust on subsequent pages. There wasn't too much adjustment as the range of scores was only about 60-70 subsequently.,"1661457318037","1661457319875","1661457322282","1661457326420","1661457328090","1661457357883","1661457352947","1661457351080","1661457362028","1661457349275","1661457370142","1661457373298","1661457375360","1661457376714","1661457379049","1661457383843","1661457385615","1661457388452","1661457390396","1661457392397","5","4","3","1","2","2","1","1","4","1","5","1","1","1","4","2","3","3","5","4",,,,,"2","1","2",,,,,,,,1,1,1,1,"1661457333847","1661457366026","1661457380836","1661457393737",3
100,1,2,2,2,2,1,2,4,3,4,4,5,4,3,2,2,2,4,3,3,4,4,4,4,4,5,3,,,,,,I tried to rate the better test scores higher,"1661457368399, 1661457382389","1661457371238, 1661457383195, 1661457386058","1661457391993","1661457394535","1661457397734, 1661457403822, 1661457404289, 1661457405286","1661457410684","1661457412011","1661457413221","1661457414573","1661457417084","1661457420189","1661457422430, 1661457423031","1661457424513","1661457426246","1661457427044","1661457431841","1661457433133, 1661457434183, 1661457435455","1661457445931","1661457437366, 1661457440201","1661457441612","2, 4","2, 4, 3","4","4","3, 5, 5, 5","4","3","2","2","2","4","3, 3","3","4","4","4","3, 2, 4","4","4, 5","3",,,,,"2","2","2","2","1","2",,,,,1,1,1,2,"1661457408146","1661457418166","1661457430081","1661457443155, 1661457447930",92
100,1,1,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","2","1","2","2","2",,,,,,,,,,,,,
100,1,1,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,5,5,5,4,4,Just tried to come up with a percentage in my head that would more than likely be correct.,,,,,,,,,,,,,,,,"1661457406806","1661457410494","1661457414736","1661457421911","1661457423880",,,,,,,,,,,,,,,,"5","5","5","4","4",,,,,"1","2","2","2","1","2",,,,,,,,1,,,,"1661457428630",65
