progress,finished,attention_1,attention_2,attention_3,attention_1_fail,attention_2_fail,attention_3_fail,q1_g20,q2_g20,q3_g20,q4_g20,q5_g20,q6_g20,q7_g20,q8_g20,q9_g20,q10_g20,q11_g20,q12_g20,q13_g20,q14_g20,q15_g20,q16_g20,q17_g20,q18_g20,q19_g20,q20_g20,q16_g5,q17_g5,q18_g5,q19_g5,q20_g5,method_description,time_q1,time_q2,time_q3,time_q4,time_q5,time_q6,time_q7,time_q8,time_q9,time_q10,time_q11,time_q12,time_q13,time_q14,time_q15,time_q16,time_q17,time_q18,time_q19,time_q20,history_q1,history_q2,history_q3,history_q4,history_q5,history_q6,history_q7,history_q8,history_q9,history_q10,history_q11,history_q12,history_q13,history_q14,history_q15,history_q16,history_q17,history_q18,history_q19,history_q20,button_2_to_1,button_3_to_2,button_4_to_3,history_a1,history_a2,history_a3,history_a1_fail,history_a2_fail,history_a3_fail,setting
100,1,2,1,2,,,,2,3,1,2,1,2,1,3,3,5,1,1,5,4,3,4,1,4,4,2,,,,,,"I saw that all numbers were in the 200 to 300 range, so I compared those scores to each other thinking the majority of the scores would have fallen in that range. I tried to distribute the score fairly evenly in that range, allowing that the rest of the scores may not be similar.","1656649521144, 1656649541339, 1656649820823","1656649546505, 1656649823605, 1656649893501","1656649550117, 1656649827362","1656649552800, 1656649829279","1656649554619, 1656649832508","1656649565166, 1656649838616","1656649577542, 1656649639759","1656649568516, 1656649791700, 1656649841920, 1656649877449","1656649573470, 1656649802137","1656649574805","1656649583524, 1656649770715","1656649584879, 1656649772020","1656649589422, 1656649854206, 1656649859418","1656649590759","1656649593467","1656649600636","1656649604574, 1656649756114","1656649606775","1656649608679","1656649619473","4, 3, 2","4, 2, 3","3, 1","3, 2","2, 1","3, 2","2, 1","4, 3, 2, 3","4, 3","5","2, 1","2, 1","5, 4, 5","4","3","4","2, 1","4","4","2",2,3,2,"2","1","2",,,,40
100,1,2,1,2,,,,3,3,3,5,3,2,3,3,2,2,3,3,2,2,3,3,3,3,3,3,,,,,,This reminds me of elementary school when our homework was graded and sometimes it may have been on a curve scale. It’s definitely reminiscent of an A-F grading.,"1656650224744","1656650232610","1656650235810","1656650239128, 1656650246126","1656650249993","1656650260997","1656650263328","1656650266728","1656650273245","1656650275478","1656650282848","1656650286346","1656650289630","1656650294514","1656650296621","1656650303780, 1656650304446","1656650306778","1656650309132, 1656650310947","1656650312815","1656650316298","3","3","3","4, 5","3","2","3","3","2","2","3","3","2","2","3","2, 3","3","2, 3","3","3",,,,"2","1","2",,,,44
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,5,2,3,3,3,"I found that the range of the numbers in the data was relatively small, so smaller gaps between the numbers meant a larger gap in percentages. For example, though 266 was not super close to the high of 300, it was much higher than the other scores which were around 230. I estimated that 230 was about the average score and decided where the numbers below and above it would fall depending on how far away they were from 230",,,,,,,,,,,,,,,,"1656650236154, 1656650346725, 1656650357107, 1656650414380","1656650240266","1656650249752","1656650251564","1656650253843",,,,,,,,,,,,,,,,"4, 5, 4, 5","2","3","3","3",,,,"2","2, 1","2",,,,42
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,4,4,5,5,5,"If the range of scores was between 0 and 300, then anything over 200, I would consider to be pretty high, and everything over 250 to be very high. So I rated them accordingly, scoring the scores over 250 at the 80 to 100% percentiles, and the ones lower than 250 at the 60 to 80% percentiles. ",,,,,,,,,,,,,,,,"1656650184958, 1656650217602","1656650186024, 1656650218528","1656650188657","1656650190961","1656650192344",,,,,,,,,,,,,,,,"5, 4","5, 4","5","5","5",,,,"2","1","2",,,,0
100,1,2,1,2,,,,3,4,3,3,5,3,2,1,2,2,2,3,3,2,3,2,3,2,3,3,,,,,,figuring out an approximate mean,"1656650347440, 1656650388968","1656650352698","1656650354313, 1656650382792","1656650378601","1656650374827","1656650399232","1656650410447","1656650413058","1656650415695","1656650417784","1656650422889","1656650424248","1656650427264","1656650431064","1656650433872","1656650438631","1656650443488","1656650445096","1656650451584","1656650453552","4, 3","4","4, 3","3","5","3","2","1","2","2","2","3","3","2","3","2","3","2","3","3",,,,"2","1","2",,,,11
15,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","1, 2","2",,,,
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,3,4,"Given it was out of 300, and the scores were all pretty close, I assumed that the sample was generally above average participants. I made 220 my cutoff point, where anyone near that and below would be marked in the middle category.",,,,,,,,,,,,,,,,"1656650710792, 1656650725154","1656650717250, 1656650725760","1656650728041","1656650715236, 1656650729594","1656650732115, 1656650734598",,,,,,,,,,,,,,,,"2, 3","3, 4","4","2, 3","3, 4",,,,"2","1","2",,,,27
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,3,3,5,5,4,"By comparing each individual score to the other scores provided, I estimated a sort of ranking system between the scores where the higher scores should receive the highest or higher percentiles. Scores that were placed in the lower percentiles were placed lower if they were a significant difference from the higher scores.",,,,,,,,,,,,,,,,"1656650691826, 1656650732970","1656650700540, 1656650732392","1656650721632","1656650715816","1656650725887",,,,,,,,,,,,,,,,"4, 3","4, 3","5","5","4",,,,"2","1","2",,,,31
100,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2","2","2","1, 2","2",
100,1,2,1,2,,,,4,5,5,4,4,4,4,4,3,4,3,4,4,3,3,3,3,3,4,3,,,,,,above 200 was what I thought would be in the top 50%,"1656650671730","1656650676971","1656650681914","1656650686460","1656650690506","1656650700923","1656650704203","1656650707474","1656650710924","1656650714680","1656650723739","1656650726129","1656650728622","1656650733255","1656650736683","1656650749881","1656650751904","1656650754185","1656650757937","1656650761526","4","5","5","4","4","4","4","4","3","4","3","4","4","3","3","3","3","3","4","3",,,,"2","1","2",,,,12
100,1,2,1,2,,,,4,4,4,4,5,4,4,5,4,4,3,3,4,3,4,4,4,4,4,4,,,,,,"I started with the first number and decided where that ought to be in the percentile, then I looked at subsequent numbers are determined if they were much farther to be put into different percentiles","1656650560119","1656650562963","1656650564380","1656650565870","1656650568241","1656650687928","1656650689664","1656650690804","1656650692315","1656650694100","1656650697529","1656650700078","1656650701366","1656650702488","1656650703742","1656650847565","1656650848742","1656650850013","1656650852482, 1656650853954","1656650855339","4","4","4","4","5","4","4","5","4","4","3","3","4","3","4","4","4","4","3, 4","4",,,,"1, 2","1","2",,,,21
100,1,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,5,4,4,5,5,"I may have partially succumbed to the temptation of hoping that the scores in the actual task might be subject to a statistical distribution that is very similar to the scores provided in the initial training session. While I understand that it may have been foolish to do so, it was very difficult to suppress the impulse completely.",,,,,,,,,,,,,,,,"1656650402142, 1656650488770","1656650403620","1656650422728","1656650398332","1656650417096",,,,,,,,,,,,,,,,"4, 5","4","4","5","5",,,,"2","2","2","2","1","2",12
100,1,2,1,2,,,,4,2,3,2,3,2,3,2,2,4,4,3,2,1,1,2,3,3,2,4,,,,,,I assumed that lower numbers were connected to lower percentiles while higher numbers were connected to higher percentiles.,"1656650957654, 1656650985795","1656650960959, 1656650989713, 1656650996328","1656650962559, 1656650969500, 1656650995187","1656650971818","1656650974218","1656651003920","1656651006592","1656651008704, 1656651010093","1656651010779","1656651012858","1656651035678","1656651037961","1656651047547","1656651049136, 1656651060920","1656651056496, 1656651061837","1656651069763","1656651070531","1656651071571","1656651073189","1656651075034","3, 4","2, 3, 2","3, 2, 3","2","3","2","3","1, 2","2","4","4","3","2","2, 1","2, 1","2","3","3","2","4",,,,"1, 2","1","2",,,,20
29,0,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","2","2","1","2","1, 2",
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,5,5,I based it off of all of the total scores and what they would all average out to be.,,,,,,,,,,,,,,,,"1656651293484","1656651296847","1656651303017","1656651309062","1656651310257",,,,,,,,,,,,,,,,"5","4","4","5","5",,,,"2","1","2",,,,5
100,1,2,1,2,,,,4,4,3,4,5,4,5,3,5,3,1,1,2,3,4,3,4,4,2,5,,,,,,Position of the score within the range of scores,"1656651133441","1656651140081, 1656651143200, 1656651147990","1656651149736","1656651161242","1656651164986","1656651181510","1656651187838","1656651193068","1656651198494","1656651201863","1656651216232","1656651219980","1656651231847","1656651234856","1656651237884","1656651251816","1656651257726","1656651260394","1656651264292","1656651267126","4","4, 3, 4","3","4","5","4","5","3","5","3","1","1","2","3","4","3","4","4","2","5",,,,"2","1","2",,,,15
100,1,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,4,4,2,5,4,"From the results, all scores are high, so, I shared the scores from i.e from 240-300(80_100%), 210-240(60-80%), 170-210(40-60%), 100-170(20-100%), 0-100(0-20%)",,,,,,,,,,,,,,,,"1656651172299","1656651177501","1656651179433","1656651182866","1656651186302",,,,,,,,,,,,,,,,"4","4","2","5","4",,,,"2","2","2","2","1","2",9
3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,2,3,4,3,5,"I looked at all the scores before I determined the top and the bottom, and then ranked them by that.",,,,,,,,,,,,,,,,"1656652419623","1656652421341","1656652423330","1656652424952","1656652426595",,,,,,,,,,,,,,,,"2","3","4","3","5",,,,"2","1","2",,,,13
100,1,2,1,2,,,,4,5,4,4,4,4,5,4,4,5,5,4,5,4,4,5,4,4,4,5,,,,,,increments of 60. 0-59 60 - 120 121-180 181- 240 241-300,"1656651370275, 1656651509064, 1656651627100","1656651499153, 1656651643744","1656651514424, 1656651645856","1656651516921, 1656651647584","1656651518968, 1656651649121","1656651532337, 1656651598472","1656651535120, 1656651613089","1656651565416, 1656651600135","1656651568498, 1656651601664","1656651570394, 1656651573786, 1656651603432, 1656651606904","1656651657776","1656651663280","1656651667416","1656651674376","1656651679064","1656651685913","1656651687736","1656651693425","1656651695464","1656651697488","4, 3, 4","4, 5","3, 4","3, 4","3, 4","3, 4","4, 5","3, 4","3, 4","4, 5, 4, 5","5","4","5","4","4","5","4","4","4","5",1,,,"2","1","2",,,,2
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,4,2,"209-236 is a pretty narrow range for scores that could be 1-300, so I have to imagine that many will fall into my sample size. I took the low and high ends and barely stretched them out to the point where neither is on an extreme level of the spectrum ",,,,,,,,,,,,,,,,"1656651609187, 1656651621204","1656651591001","1656651618446","1656651567856","1656651561500, 1656651594145, 1656651635806",,,,,,,,,,,,,,,,"4, 3","2","3","4","2, 3, 2",,,,"2","1","2",,,,28
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,4,5,I tried to separate the scores into brackets in my head and then assign each test score to a bracket.,,,,,,,,,,,,,,,,"1656651833305, 1656651847349","1656651834034, 1656651848390","1656651834816, 1656651849194","1656651852977","1656651843038",,,,,,,,,,,,,,,,"5, 4","4, 3","4, 3","4","5",,,,"2","1","2",,,,2
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,3,4,2,4,5,"Since the scores were on the higher end of the perfect score of 300, I deemed the test was probably fairly easy. So, in that scenario, the score of 249 is more than likely within the top 20 percentile. There were 3 other students whose scores were pretty close to each other in the upper 220s and the 230s, so I estimated that the 2 students who were in the 230s are likely in the 60-80%. Then I just estimated the 220s to be in the 40-60% based on those results, and I left the last student as the 20-40% as since the test is of 300, theres still quite a ways to go lower, so I left some room to account for the other test takers as there is a high chance there would be lower scores than the ones shown.",,,,,,,,,,,,,,,,"1656651446788, 1656651538031","1656651447572, 1656651531249","1656651443629, 1656651539649","1656651441135","1656651435285",,,,,,,,,,,,,,,,"2, 3","3, 4","1, 2","4","5",,,,"2","1","2",,,,10
100,1,2,1,2,,,,3,4,3,3,2,3,2,5,5,2,4,3,3,5,1,1,1,4,4,5,,,,,,I averaged every tenth number into a percentile.,"1656651645425, 1656651670662","1656651647731, 1656651661464, 1656651663337, 1656651721560","1656651649443, 1656651665839, 1656651669090, 1656651724567","1656651651283, 1656651659622","1656651678002","1656651684209, 1656651705295, 1656651707460, 1656651855151","1656651687073, 1656651702581","1656651689972","1656651693618","1656651698751","1656651747767, 1656651787718, 1656651864037","1656651774310, 1656651828860","1656651776452, 1656651826477","1656651782240","1656651790982","1656651810895","1656651812722","1656651911710","1656651915050","1656651921780, 1656651925416","4, 3","5, 3, 5, 4","4, 3, 4, 3","4, 3","2","5, 3, 4, 3","3, 2","5","5","2","4, 5, 4","4, 3","4, 3","5","1","1","1","4","4","4, 5",2,4,2,"2","1","2",,,,0
29,0,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2, 1, 2","2","1","2","2","2",
100,1,2,1,2,,,,4,5,5,4,5,4,5,5,4,5,5,4,4,5,5,5,5,5,4,5,,,,,,Estimation based on how high the score was. ,"1656651859476","1656651865124, 1656651869672","1656651871345","1656651874473","1656651879657","1656651887662","1656651889923","1656651891887","1656651894275","1656651897086","1656651905404","1656651908105","1656651910452","1656651913549","1656651915341","1656651922711","1656651925536","1656651927265","1656651932005","1656651933940","4","4, 5","5","4","5","4","5","5","4","5","5","4","4","5","5","5","5","5","4","5",,,,"2","1","2",,,,41
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,2,4,3,2,4,"202 and 214 were on the lower end, so I figured those to be in the 0-20% range. 240 was in the midrange of the scores given, so I put it at 40-60%, and although 250 and 258 were the highest scores given, I thought back to the previous example and estimated there would be some scores that were higher so I put those two scores in the 60-80% range.",,,,,,,,,,,,,,,,"1656651818923, 1656651821439, 1656651825474","1656651875932","1656651864968","1656651834859","1656651870278",,,,,,,,,,,,,,,,"3, 3, 2","4","3","2","4",,,,"2","1","2",,,,29
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,4,5,,,,,,,,,,,,,,,,,"1656652155717","1656652158635","1656652160405, 1656652162186","1656652169341, 1656652169905","1656652171880",,,,,,,,,,,,,,,,"4","5","4, 5","5, 4","5",,,,"2","1","2",,,,6
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,5,4,"I read all the available numbers and mentally ordered them in my head from biggest to smallest. I gave the biggest numbers a higher percentage than the lower numbers. I estimated that a score around 234 must be on the higher end of the spectrum, but not the highest, I saved that for the biggest number and the closest I saw to the largest possible score, which was 276.",,,,,,,,,,,,,,,,"1656651934806","1656651939968, 1656651942208, 1656651943306, 1656651947594","1656651953794","1656651949944","1656651960166",,,,,,,,,,,,,,,,"4","5, 4, 5, 4","3","5","4",,,,"2","2, 1","2",,,,36
100,1,2,1,2,,,,3,3,4,4,4,2,4,1,2,3,2,3,2,2,2,2,3,5,3,2,,,,,,"240 might be average, BELOW THAT NOT MUCH CHANCE, above has a good chance","1656651818709, 1656651822465, 1656651841274","1656651845313","1656651846346","1656651852006, 1656652088798","1656651856757, 1656652092515","1656651864682, 1656652058518","1656651869859, 1656652063386","1656651876511, 1656652065923","1656651880703, 1656652069959","1656651882327, 1656652074298","1656651890335, 1656651914863","1656651896116, 1656652040590","1656651901190, 1656652047240","1656651902802, 1656652049011","1656651909152, 1656652053970","1656651924405","1656651929533","1656651931392","1656651936263, 1656651947194, 1656652028432","1656651948791, 1656652033160","5, 4, 3","3","4","5, 4","5, 4","3, 2","5, 4","3, 1","3, 2","4, 3","3, 2","4, 3","3, 2","3, 2","3, 2","2","3","5","3, 4, 3","3, 2",1,1,1,"2","1","2",,,,30
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,5,4,The way that I estimated these percentiles was to think about the example at the beginning of the survey and apply the example to scores that I estimated. ,,,,,,,,,,,,,,,,"1656652094868, 1656652131833","1656652099785, 1656652124732","1656652105097, 1656652121038","1656652109859","1656652113882",,,,,,,,,,,,,,,,"5, 4","4, 3","5, 4","5","4",,,,"2","1","2",,,,26
100,1,2,1,2,,,,3,3,2,4,2,4,4,3,4,2,4,5,4,3,2,5,3,3,3,3,,,,,,It seemed like the scores were in a pretty small range - just from like 213 - 275 (highest and lowest I remember). So I did my best to keep that in mind.,"1656652216194, 1656652232194","1656652220628, 1656652233251","1656652222313, 1656652234474","1656652223863","1656652225573, 1656652242156","1656652247749","1656652250975","1656652251950","1656652253578","1656652254823","1656652258490","1656652260491","1656652262160","1656652263205","1656652264462","1656652270455, 1656652271325","1656652273219","1656652274449","1656652275352","1656652276591","4, 3","4, 3","4, 2","4","3, 2","4","4","3","4","2","4","5","4","3","2","4, 5","3","3","3","3",,,,"2","1","2",,,,42
69,0,2,1,2,,,,4,4,4,5,4,3,3,3,3,2,,,,,,,,,,,,,,,,,"1656648691386","1656648694450","1656648696378","1656648699091","1656648701292","1656648708449","1656648713011","1656648714588","1656648717644","1656648719956",,,,,,,,,,,"4","4","4","5","4","3","3","3","3","2",,,,,,,,,,,,,,"2","1","2",,,,37
100,1,2,1,2,,,,3,4,3,3,4,4,5,3,5,4,3,4,3,5,3,3,3,3,4,4,,,,,,"260 - 300: 80-100%
230-260: 60-80%
200-230: 40-60%
150-200: 20-40%
0-150: 0-20%","1656651235527, 1656651745555, 1656651820253, 1656651821721","1656651228820, 1656651830955","1656651440013, 1656651836000, 1656651836827, 1656652062203","1656651232688, 1656651242190, 1656651841903, 1656652064759","1656651231426, 1656652067181","1656651854738","1656651856564","1656651859454, 1656652037437","1656651861529","1656651862783, 1656652033285","1656651885230, 1656652023540","1656651894188","1656651896076, 1656652013225","1656652011206","1656651940354, 1656652005293","1656652086060","1656652087702","1656652091017","1656652093763","1656652095619","4, 3, 2, 3","5, 4","4, 3, 4, 3","4, 3, 4, 3","5, 4","4","5","4, 3","5","5, 4","4, 3","4","4, 3","5","4, 3","3","3","3","4","4",2,1,,"2","1","2",,,,8
100,1,2,1,2,,,,4,3,2,5,5,1,2,1,2,3,2,1,1,1,2,3,3,1,1,1,,,,,,I was paying attention to the numbers after the 2. So my thinking was if the two numbers following are small then it would be a low percentage and if the two numbers following are large and closer to 300 then it would be a higher percentage. Any numbers ranging from 250 to 260 would be the middle percentage.,"1656652076430","1656652088906, 1656652118992","1656652091337, 1656652114724","1656652095459","1656652098204","1656652128780","1656652131273","1656652133119","1656652138163, 1656652167058","1656652144206, 1656652171210","1656652177958","1656652180055","1656652181892","1656652185123","1656652187154","1656652196477","1656652199674","1656652201286","1656652203036","1656652204365","4","4, 3","3, 2","5","5","1","2","1","3, 2","4, 3","2","1","1","1","2","3","3","1","1","1",,,,"2","1","2",,,,16
100,1,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,4,5,5,5,5,All the scores seemed pretty high,,,,,,,,,,,,,,,,"1656652327919, 1656652337734, 1656652348745, 1656652380685","1656652343865, 1656652351006","1656652353834","1656652358533, 1656652364243","1656652369327",,,,,,,,,,,,,,,,"5, 4, 5, 4","4, 5","5","4, 5","5",,,,"2","2","2, 2","2","1","2",24
100,1,2,1,2,,,,4,5,5,5,4,2,3,3,3,3,3,1,2,1,1,1,2,1,4,3,,,,,,i originally divided 300 by 5 but then realized none of the scores were below 200 i i adjusted my theory i did not have an exact method i used 200-210s low 20s were the lowest 20 + 30s were 2nd 40-50s were 3rd 60-70 4th 80-300 top those are averages clearly they don't add up I used my best judgment I guess when it was on a cusp,"1656651828008, 1656651831456","1656651834344","1656651836222, 1656651968448","1656651838938, 1656651973060","1656651845506, 1656651974944","1656651866054, 1656651980803, 1656652064914","1656651863609, 1656651983670, 1656652066216, 1656652067368","1656651859957, 1656651905732, 1656652069335","1656651906833, 1656651987512, 1656652073465","1656651908562, 1656652075895","1656651996346, 1656652058881, 1656652082220, 1656652082760","1656651999359, 1656652049868","1656652002009, 1656652047837","1656652005383, 1656652043013","1656652025199, 1656652039750","1656652089118","1656652090823","1656652092730","1656652094415","1656652101639","5, 4","5","4, 5","4, 5","3, 4","3, 4, 2","4, 5, 4, 3","3, 4, 3","4, 5, 3","4, 3","5, 3, 4, 3","4, 1","4, 2","4, 1","4, 1","1","2","1","4","3",1,1,,"2","1","2",,,,36
100,1,2,1,2,,,,2,4,4,4,2,4,4,4,3,3,5,4,3,3,4,3,2,3,5,4,,,,,,I ranked the higher numbers into higher percentiles and lower numbers into lower ones and adjusted according to the range of numbers I was seeing.,"1656652404016, 1656652406355, 1656652426712, 1656652489606","1656652407318, 1656652414584","1656652408609, 1656652413095","1656652412114","1656652420805, 1656652495307, 1656652496524, 1656652498064","1656652436276","1656652437449","1656652438584","1656652440168, 1656652508115","1656652441263, 1656652509218","1656652455717","1656652457051","1656652458750","1656652461988","1656652463049","1656652466428","1656652471240","1656652472662","1656652474022, 1656652475118","1656652477387","5, 4, 3, 2","5, 4","5, 4","4","3, 2, 1, 2","4","4","4","4, 3","4, 3","5","4","3","3","4","3","2","3","4, 5","4",2,1,1,"2","1","2",,,,26
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,5,4,5,5,5,Calculating how close the score was to the total (300),,,,,,,,,,,,,,,,"1656652513969","1656652519516","1656652522782","1656652524731","1656652527659",,,,,,,,,,,,,,,,"5","4","5","5","5",,,,"2","1","2",,,,8
100,1,2,1,2,,,,5,5,4,4,5,5,4,4,4,4,4,5,5,4,4,4,4,4,4,4,,,,,,,"1656652634214, 1656652668042, 1656652679071, 1656652682446","1656652637650, 1656652669727, 1656652675419, 1656652683458","1656652640940, 1656652694785","1656652642719, 1656652691154","1656652716337","1656652720908","1656652722592","1656652724814","1656652725746","1656652726709","1656652731648","1656652732450","1656652735083","1656652736031","1656652738706","1656652743804","1656652744643","1656652746705","1656652747732","1656652748555","4, 5, 4, 5","4, 5, 4, 5","3, 4","3, 4","5","5","4","4","4","4","4","5","5","4","4","4","4","4","4","4",,,,"2","1","2",,,,24
100,1,2,1,2,,,,4,4,5,5,5,4,5,4,4,4,4,4,5,4,4,4,5,5,4,5,,,,,,"I used a percentage conversion with a total of 300. For example,  X / 300 = %","1656652450636","1656652461655","1656652471385","1656652477100","1656652479628","1656652526269","1656652542040","1656652547358","1656652549404","1656652552335","1656652607069","1656652608680","1656652615702","1656652622391","1656652624397","1656652633093","1656652634783","1656652641874","1656652643693","1656652646081","4","4","5","5","5","4","5","4","4","4","4","4","5","4","4","4","5","5","4","5",,,,"2","1","2",,,,29
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,4,1,"I USED THE SAME THEORY WITH THE ORIGINAL EXAMPLE. I SCALED IT ALL BASED OFF THE HIGHEST NUMER. THAT WAS THE 80-100% AND EVERYTHING ELSE WAS SCALED DOWN BASED OFF OF THAT. EVEN THOUGH THE SCORE WASN'T GREAT IN COMPARISON TO 300, THEY WERE PRETTY GOOD IN COMPARISON TO THE HIGH SCORE OF 258. ",,,,,,,,,,,,,,,,"1656652584793, 1656652690572, 1656652718746, 1656652726538, 1656652738451, 1656652791950","1656652594108, 1656652702554, 1656652735998, 1656652799487","1656652676424, 1656652741577, 1656652755276, 1656652782376","1656652724814, 1656652762883, 1656652785605","1656652803150",,,,,,,,,,,,,,,,"4, 5, 4, 3, 2, 3","4, 5, 4, 2","5, 3, 4, 5","4, 3, 4","1",,,,"2","1","2",,,,45
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,5,4,5,4,5,Just made sense to me,,,,,,,,,,,,,,,,"1656652856533","1656652864457, 1656652867928","1656652870949","1656652873544","1656652875887",,,,,,,,,,,,,,,,"5","5, 4","5","4","5",,,,"2","1","2",,,,35
100,1,2,1,2,,,,3,5,3,2,2,4,3,3,1,2,4,3,3,1,1,2,3,5,2,2,,,,,,"I took lowest score and subtracted is from the highest score and then divided that by 5 (the number of percentiles I had to distribute the scores),  And I tried to divide use those numbers to place the scores.  It might not be a perfect way to do it, but I think it was close!","1656651621873, 1656651624404, 1656651848498","1656651630413","1656651638013, 1656651638895, 1656651860075","1656651643779, 1656651861811, 1656652419249","1656651650889, 1656651868017, 1656652434444","1656651744150, 1656651807267, 1656651823364","1656651809963, 1656651878296","1656651893429","1656651902085, 1656652464304","1656651907312, 1656652480202","1656651936147, 1656652536309, 1656652546046","1656651938591, 1656652540878","1656652003492","1656651997192, 1656652555583","1656652009163, 1656652009546, 1656652558834","1656652036640","1656652039518","1656652048469, 1656652582349","1656652053854","1656652065801","3, 4, 3","5","4, 4, 3","4, 3, 2","4, 3, 2","4, 5, 4","4, 3","3","2, 1","3, 2","4, 3, 4","4, 3","3","2, 1","2, 2, 1","2","3","4, 5","2","2",4,2,1,"2","1, 1, 1, 2, 1, 2, 1","2",,,,34
100,1,2,1,2,,,,2,1,4,4,3,1,3,4,2,3,3,1,5,2,5,1,3,1,1,2,,,,,,I tried to take a holistic approach - notice the highs and lows and readjust my answers based on each additional piece of information.,"1656652755898, 1656652807806","1656652761233, 1656652767331, 1656652805422","1656652770802","1656652763922, 1656652809903","1656652772771, 1656652811728","1656652776796, 1656652815159","1656652779070, 1656652817178","1656652780467, 1656652818032","1656652782406, 1656652820114","1656652783819, 1656652822130","1656652791829, 1656652828883","1656652794134, 1656652827611","1656652831371","1656652795494, 1656652837084","1656652797245","1656652845844","1656652847005","1656652848910","1656652853492","1656652852318","5, 2","4, 3, 1","4","5, 4","4, 3","3, 1","4, 3","5, 4","3, 2","4, 3","5, 3","2, 1","5","5, 2","5","1","3","1","1","2",1,1,,"2","1","2",,,,33
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,5,5,4,5,5,i determined how the number 300 would be best split up between the number of categories ,,,,,,,,,,,,,,,,"1656652858917","1656652862464","1656652864797","1656652866399","1656652870344",,,,,,,,,,,,,,,,"5","5","4","5","5",,,,"2","1","2",,,,39
15,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2","2",,,,
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,1,5,"Though it seemed unlikely that there would be any *meaningful* test in which getting over 2/3s of the answers correct (over 200 out of 300 in the previous example) would be achievable by everyone, with the lack of any other evidence I chose to assume that these scores represented a reasonable random cross-section of the overall results.  With that assumed, I separated the scores into the various categories in a way that seemed reasonable.",,,,,,,,,,,,,,,,"1656652786893","1656652796112","1656652797383","1656652785244","1656652694323",,,,,,,,,,,,,,,,"1","3","3","1","5",,,,"2","1","2",,,,15
100,1,2,1,2,,,,4,4,4,4,5,5,3,4,3,3,5,2,5,2,4,4,3,3,4,3,,,,,,"Based on the highest and lowest number I saw, I decided on the percentile.","1656652947495","1656652955538","1656652962623, 1656652983813","1656652965847, 1656652985166","1656652992837","1656652997811","1656652999585, 1656653046060","1656653000945","1656653003179, 1656653058444","1656653005744, 1656653060196","1656653010497","1656653012237, 1656653065565, 1656653067270","1656653013695","1656653015749, 1656653070649","1656653018051, 1656653072924","1656653023577","1656653087052","1656653088669","1656653090069","1656653091524","4","4","3, 4","3, 4","5","5","4, 3","4","4, 3","4, 3","5","4, 3, 2","5","4, 2","5, 4","4","3","3","4","3",,1,1,"2","1","2",,,,9
